Team Name,Abb,Opposing Team Name,Opponent Abb,Date,Home Game,Game Number,Oppenent Game Number,Game Against Opponent,Completion% (Last 5 Games),Completion% (Season),Completion% Opponent (Last 5 Games),Completion% Opponent (Season),Completion% Against Opponent (Season),Completion% Opponent Against Home (Season),Huck% (Last 5 Games),Huck% (Season),Huck% Opponent (Last 5 Games),Huck% Opponent (Season),Huck% Against Opponent (Season),Huck% Opponent Against Home (Season),Hold% (Last 5 Games),Hold% (Season),Hold% Opponent (Last 5 Games),Hold% Opponent (Season),Hold% Against Opponent (Season),Hold% Opponent Against Home (Season),OLC% (Last 5 Games),OLC% (Season),OLC% Opponent (Last 5 Games),OLC% Opponent (Season),OLC% Against Opponent (Season),OLC% Opponent Against Home (Season),Break% (Last 5 Games),Break% (Season),Break% Opponent (Last 5 Games),Break% Opponent (Season),Break% Against Opponent (Season),Break% Opponent Against Home (Season),DLC% (Last 5 Games),DLC% (Season),DLC% Opponent (Last 5 Games),DLC% Opponent (Season),DLC% Against Opponent (Season),DLC% Opponent Against Home (Season),RZC% (Last 5 Games),RZC% (Season),RZC% Opponent (Last 5 Games),RZC% Opponent (Season),RZC% Against Opponent (Season),RZC% Opponent Against Home (Season),Turnovers (Last 5 Games),Turnovers (Season),Turnovers Opponent (Last 5 Games),Turnovers Opponent (Season),Turnovers Against Opponent (Season),Turnovers Opponent Against Home (Season),Blocks (Last 5 Games),Blocks (Season),Blocks Opponent (Last 5 Games),Blocks Opponent (Season),Blocks Against Opponent (Season),Blocks Opponent Against Home (Season),Points/Total (Last 5 Games),Points/Total (Season),Points/Total Opponent (Last 5 Games),Points/Total Opponent (Season),Points/Total Against Opponent (Season),Points/Total Opponent Against Home (Season),Result
AlleyCats,IND,Mechanix,DET,2021-06-04,1,1,1,1,0.948,0.948,0.908,0.908,0.948,0.908,0.671,0.671,0.593,0.593,0.671,0.593,0.662,0.662,0.512,0.512,0.662,0.512,0.559,0.559,0.41,0.41,0.559,0.41,0.259,0.259,0.131,0.131,0.259,0.131,0.573,0.573,0.302,0.302,0.573,0.302,0.781,0.781,0.705,0.705,0.781,0.705,16.0,16.0,25.4,25.4,16.0,25.4,8.7,8.7,7.2,7.2,8.7,7.2,0.499,0.499,0.388,0.388,0.499,0.388,1
Breeze,DC,Empire,NY,2021-06-04,0,1,1,1,0.95,0.95,0.948,0.948,0.95,0.948,0.6,0.6,0.624,0.624,0.6,0.624,0.742,0.742,0.77,0.77,0.742,0.77,0.619,0.619,0.635,0.635,0.619,0.635,0.311,0.311,0.313,0.313,0.311,0.313,0.571,0.571,0.551,0.551,0.571,0.551,0.848,0.848,0.828,0.828,0.848,0.828,14.5,14.5,14.1,14.1,14.5,14.1,10.6,10.6,10.6,10.6,10.6,10.6,0.551,0.551,0.567,0.567,0.551,0.567,0
Cannons,TB,Phoenix,PHI,2021-06-04,0,1,1,1,0.895,0.895,0.929,0.929,0.895,0.929,0.584,0.584,0.599,0.599,0.584,0.599,0.533,0.533,0.652,0.652,0.533,0.652,0.403,0.403,0.504,0.504,0.403,0.504,0.16,0.16,0.243,0.243,0.16,0.243,0.339,0.339,0.444,0.444,0.339,0.444,0.706,0.706,0.785,0.785,0.706,0.785,25.4,25.4,19.6,19.6,25.4,19.6,8.4,8.4,9.4,9.4,8.4,9.4,0.408,0.408,0.489,0.489,0.408,0.489,0
Empire,NY,Breeze,DC,2021-06-04,1,1,1,1,0.948,0.948,0.95,0.95,0.948,0.95,0.624,0.624,0.6,0.6,0.624,0.6,0.77,0.77,0.742,0.742,0.77,0.742,0.635,0.635,0.619,0.619,0.635,0.619,0.313,0.313,0.311,0.311,0.313,0.311,0.551,0.551,0.571,0.571,0.551,0.571,0.828,0.828,0.848,0.848,0.828,0.848,14.1,14.1,14.5,14.5,14.1,14.5,10.6,10.6,10.6,10.6,10.6,10.6,0.567,0.567,0.551,0.551,0.567,0.551,1
Mechanix,DET,AlleyCats,IND,2021-06-04,0,1,1,1,0.908,0.908,0.948,0.948,0.908,0.948,0.593,0.593,0.671,0.671,0.593,0.671,0.512,0.512,0.662,0.662,0.512,0.662,0.41,0.41,0.559,0.559,0.41,0.559,0.131,0.131,0.259,0.259,0.131,0.259,0.302,0.302,0.573,0.573,0.302,0.573,0.705,0.705,0.781,0.781,0.705,0.781,25.4,25.4,16.0,16.0,25.4,16.0,7.2,7.2,8.7,8.7,7.2,8.7,0.388,0.388,0.499,0.499,0.388,0.499,0
Phoenix,PHI,Cannons,TB,2021-06-04,1,1,1,1,0.929,0.929,0.895,0.895,0.929,0.895,0.599,0.599,0.584,0.584,0.599,0.584,0.652,0.652,0.533,0.533,0.652,0.533,0.504,0.504,0.403,0.403,0.504,0.403,0.243,0.243,0.16,0.16,0.243,0.16,0.444,0.444,0.339,0.339,0.444,0.339,0.785,0.785,0.706,0.706,0.785,0.706,19.6,19.6,25.4,25.4,19.6,25.4,9.4,9.4,8.4,8.4,9.4,8.4,0.489,0.489,0.408,0.408,0.489,0.408,1
Radicals,MAD,Wind Chill,MIN,2021-06-04,1,1,1,1,0.929,0.929,0.934,0.934,0.929,0.934,0.55,0.55,0.599,0.599,0.55,0.599,0.645,0.645,0.717,0.717,0.645,0.717,0.519,0.519,0.553,0.553,0.519,0.553,0.287,0.287,0.318,0.318,0.287,0.318,0.533,0.533,0.533,0.533,0.533,0.533,0.769,0.769,0.791,0.791,0.769,0.791,18.0,18.0,17.7,17.7,18.0,17.7,9.4,9.4,11.2,11.2,9.4,11.2,0.505,0.505,0.549,0.549,0.505,0.549,0
Wind Chill,MIN,Radicals,MAD,2021-06-04,0,1,1,1,0.934,0.934,0.929,0.929,0.934,0.929,0.599,0.599,0.55,0.55,0.599,0.55,0.717,0.717,0.645,0.645,0.717,0.645,0.553,0.553,0.519,0.519,0.553,0.519,0.318,0.318,0.287,0.287,0.318,0.287,0.533,0.533,0.533,0.533,0.533,0.533,0.791,0.791,0.769,0.769,0.791,0.769,17.7,17.7,18.0,18.0,17.7,18.0,11.2,11.2,9.4,9.4,11.2,9.4,0.549,0.549,0.505,0.505,0.549,0.505,1
AlleyCats,IND,Union,CHI,2021-06-05,0,2,1,1,0.92,0.92,0.937,0.937,0.948,0.937,0.76,0.76,0.602,0.602,0.671,0.602,0.86,0.86,0.73,0.73,0.662,0.73,0.73,0.73,0.603,0.603,0.559,0.603,0.34,0.34,0.308,0.308,0.259,0.308,0.61,0.61,0.521,0.521,0.573,0.521,0.93,0.93,0.844,0.844,0.781,0.844,14.0,14.0,15.7,15.7,16.0,15.7,12.0,12.0,9.7,9.7,8.7,9.7,0.588,0.588,0.548,0.548,0.499,0.548,0
Aviators,LA,Growlers,SD,2021-06-05,1,1,1,1,0.931,0.931,0.925,0.925,0.931,0.925,0.587,0.587,0.672,0.672,0.587,0.672,0.651,0.651,0.696,0.696,0.651,0.696,0.501,0.501,0.548,0.548,0.501,0.548,0.229,0.229,0.244,0.244,0.229,0.244,0.421,0.421,0.461,0.461,0.421,0.461,0.76,0.76,0.797,0.797,0.76,0.797,20.5,20.5,19.2,19.2,20.5,19.2,8.4,8.4,10.5,10.5,8.4,10.5,0.487,0.487,0.507,0.507,0.487,0.507,0
Breeze,DC,Cannons,TB,2021-06-05,1,2,2,1,0.97,0.97,0.89,0.89,0.95,0.895,1.0,1.0,0.44,0.44,0.6,0.584,0.74,0.74,0.48,0.48,0.742,0.533,0.67,0.67,0.35,0.35,0.619,0.403,0.2,0.2,0.22,0.22,0.311,0.16,0.57,0.57,0.44,0.44,0.571,0.339,0.81,0.81,0.69,0.69,0.848,0.706,9.0,9.0,25.0,25.0,14.5,25.4,7.0,7.0,10.0,10.0,10.6,8.4,0.486,0.486,0.432,0.432,0.551,0.408,1
Cannons,TB,Breeze,DC,2021-06-05,0,2,2,1,0.89,0.89,0.97,0.97,0.895,0.95,0.44,0.44,1.0,1.0,0.584,0.6,0.48,0.48,0.74,0.74,0.533,0.742,0.35,0.35,0.67,0.67,0.403,0.619,0.22,0.22,0.2,0.2,0.16,0.311,0.44,0.44,0.57,0.57,0.339,0.571,0.69,0.69,0.81,0.81,0.706,0.848,25.0,25.0,9.0,9.0,25.4,14.5,10.0,10.0,7.0,7.0,8.4,10.6,0.432,0.432,0.486,0.486,0.408,0.551,0
Cascades,SEA,Spiders,SJ,2021-06-05,1,1,1,1,0.915,0.915,0.918,0.918,0.915,0.918,0.537,0.537,0.612,0.612,0.537,0.612,0.613,0.613,0.657,0.657,0.613,0.657,0.463,0.463,0.515,0.515,0.463,0.515,0.215,0.215,0.252,0.252,0.215,0.252,0.417,0.417,0.475,0.475,0.417,0.475,0.754,0.754,0.783,0.783,0.754,0.783,22.8,22.8,21.091,21.091,22.8,21.091,10.4,10.4,9.758,9.758,10.4,9.758,0.463,0.463,0.492,0.492,0.463,0.492,1
Flyers,RAL,Hustle,ATL,2021-06-05,0,1,1,1,0.944,0.944,0.939,0.939,0.944,0.939,0.621,0.621,0.731,0.731,0.621,0.731,0.776,0.776,0.725,0.725,0.776,0.725,0.631,0.631,0.599,0.599,0.631,0.599,0.266,0.266,0.3,0.3,0.266,0.3,0.523,0.523,0.499,0.499,0.523,0.499,0.829,0.829,0.782,0.782,0.829,0.782,14.737,14.737,14.7,14.7,14.737,14.7,9.105,9.105,11.0,11.0,9.105,11.0,0.528,0.528,0.545,0.545,0.528,0.545,1
Glory,BOS,Thunderbirds,PIT,2021-06-05,0,1,1,1,0.915,0.915,0.924,0.924,0.915,0.924,0.548,0.548,0.575,0.575,0.548,0.575,0.674,0.674,0.628,0.628,0.674,0.628,0.537,0.537,0.498,0.498,0.537,0.498,0.241,0.241,0.218,0.218,0.241,0.218,0.449,0.449,0.433,0.433,0.449,0.433,0.77,0.77,0.763,0.763,0.77,0.763,18.8,18.8,20.6,20.6,18.8,20.6,9.8,9.8,9.5,9.5,9.8,9.5,0.498,0.498,0.472,0.472,0.498,0.472,1
Growlers,SD,Aviators,LA,2021-06-05,0,1,1,1,0.925,0.925,0.931,0.931,0.925,0.931,0.672,0.672,0.587,0.587,0.672,0.587,0.696,0.696,0.651,0.651,0.696,0.651,0.548,0.548,0.501,0.501,0.548,0.501,0.244,0.244,0.229,0.229,0.244,0.229,0.461,0.461,0.421,0.421,0.461,0.421,0.797,0.797,0.76,0.76,0.797,0.76,19.2,19.2,20.5,20.5,19.2,20.5,10.5,10.5,8.4,8.4,10.5,8.4,0.507,0.507,0.487,0.487,0.507,0.487,1
