Team,Date,Score,Completion %,Huck %,Hold %,OLC %,Break %,DLC %,RZC %,Turnovers,Blocks,Completion%,Huck %,Hold %,OLC%,Break %,DLC %,RZC %,Away Score,Home Score,Points/Total
AlleyCats,6/4/2021,DET 21 - 30 IND,92% (168/182),76% (13/17),86% (19/22),73% (19/26),34% (11/32),61% (11/18),93% (13/14),14,12,0.92,0.76,0.86,0.73,0.34,0.61,0.93,21,30,0.588
Breeze,6/4/2021,DC 18 - 19 NY,97% (282/291),100% (3/3),74% (14/19),67% (14/21),20% (4/20),57% (4/7),81% (17/21),9,7,0.97,1.00,0.74,0.67,0.20,0.57,0.81,18,19,0.486
Cannons,6/4/2021,TB 16 - 21 PHI,89% (196/221),44% (7/16),48% (11/23),35% (11/31),22% (4/18),44% (4/9),69% (11/16),25,10,0.89,0.44,0.48,0.35,0.22,0.44,0.69,16,21,0.432
Empire,6/4/2021,DC 18 - 19 NY,95% (210/220),71% (5/7),75% (15/20),65% (15/23),21% (4/19),67% (4/6),92% (11/12),10,5,0.95,0.71,0.75,0.65,0.21,0.67,0.92,18,19,0.514
Mechanix,6/4/2021,DET 21 - 30 IND,93% (301/324),55% (6/11),63% (20/32),51% (20/39),5% (1/22),17% (1/6),82% (9/11),23,8,0.93,0.55,0.63,0.51,0.05,0.17,0.82,21,30,0.412
Phoenix,6/4/2021,TB 16 - 21 PHI,92% (234/254),58% (7/12),67% (12/18),52% (12/23),39% (9/23),47% (9/19),63% (10/16),20,14,0.92,0.58,0.67,0.52,0.39,0.47,0.63,16,21,0.568
Radicals,6/4/2021,MIN 20 - 18 MAD,90% (231/258),55% (6/11),67% (14/21),48% (14/29),22% (4/18),25% (4/16),67% (12/18),27,11,0.90,0.55,0.67,0.48,0.22,0.25,0.67,20,18,0.474
Wind Chill,6/4/2021,MIN 20 - 18 MAD,94% (368/393),45% (5/11),74% (14/19),48% (14/29),27% (6/22),38% (6/16),61% (14/23),25,19,0.94,0.45,0.74,0.48,0.27,0.38,0.61,20,18,0.526
AlleyCats,6/5/2021,IND 12 - 20 CHI,93% (269/289),38% (3/8),45% (10/22),40% (10/25),14% (2/14),29% (2/7),64% (7/11),20,5,0.93,0.38,0.45,0.40,0.14,0.29,0.64,12,20,0.375
Aviators,6/5/2021,SD 19 - 16 LA,92% (221/240),67% (4/6),67% (14/21),47% (14/30),11% (2/18),40% (2/5),75% (9/12),19,7,0.92,0.67,0.67,0.47,0.11,0.40,0.75,19,16,0.457
