Team,Date,Score,Turnovers,Blocks,Completion%,Huck%,Hold%,OLC%,Break%,DLC%,RZC%,Away Score,Home Score,Points/Total
AlleyCats,6/4/2021,DET 21 - 30 IND,14,12,0.92,0.76,0.86,0.73,0.34,0.61,0.93,21,30,0.588
Breeze,6/4/2021,DC 18 - 19 NY,9,7,0.97,1.0,0.74,0.67,0.2,0.57,0.81,18,19,0.486
Cannons,6/4/2021,TB 16 - 21 PHI,25,10,0.89,0.44,0.48,0.35,0.22,0.44,0.69,16,21,0.432
Empire,6/4/2021,DC 18 - 19 NY,10,5,0.95,0.71,0.75,0.65,0.21,0.67,0.92,18,19,0.514
Mechanix,6/4/2021,DET 21 - 30 IND,23,8,0.93,0.55,0.63,0.51,0.05,0.17,0.82,21,30,0.412
Phoenix,6/4/2021,TB 16 - 21 PHI,20,14,0.92,0.58,0.67,0.52,0.39,0.47,0.63,16,21,0.568
Radicals,6/4/2021,MIN 20 - 18 MAD,27,11,0.9,0.55,0.67,0.48,0.22,0.25,0.67,20,18,0.474
Wind Chill,6/4/2021,MIN 20 - 18 MAD,25,19,0.94,0.45,0.74,0.48,0.27,0.38,0.61,20,18,0.526
AlleyCats,6/5/2021,IND 12 - 20 CHI,20,5,0.93,0.38,0.45,0.4,0.14,0.29,0.64,12,20,0.375
Aviators,6/5/2021,SD 19 - 16 LA,19,7,0.92,0.67,0.67,0.47,0.11,0.4,0.75,19,16,0.457
Breeze,6/5/2021,TB 10 - 24 DC,17,19,0.94,0.5,1.0,0.71,0.46,0.48,0.89,10,24,0.706
Cannons,6/5/2021,TB 10 - 24 DC,32,6,0.84,0.3,0.38,0.26,0.0,0.0,0.36,10,24,0.294
Cascades,6/5/2021,SJ 21 - 24 SEA,17,5,0.94,0.47,0.7,0.62,0.32,0.5,0.89,21,24,0.533
Flyers,6/5/2021,RAL 18 - 19 ATL,18,6,0.95,0.5,0.65,0.5,0.24,0.5,0.78,18,19,0.514
Glory,6/5/2021,BOS 29 - 21 PIT,15,15,0.94,0.67,0.82,0.6,0.37,0.73,0.83,29,21,0.58
Growlers,6/5/2021,SD 19 - 16 LA,16,13,0.94,0.38,0.78,0.67,0.24,0.31,1.0,19,16,0.543
Hustle,6/5/2021,RAL 18 - 19 ATL,16,13,0.94,0.8,0.71,0.58,0.2,0.31,0.73,18,19,0.514
Mechanix,6/5/2021,MAD 34 - 10 DET,43,8,0.85,0.33,0.25,0.2,0.08,0.13,0.57,34,10,0.227
Radicals,6/5/2021,MAD 34 - 10 DET,18,19,0.93,0.62,0.83,0.56,0.67,0.67,0.89,34,10,0.773
Spiders,6/5/2021,SJ 21 - 24 SEA,19,6,0.93,0.6,0.64,0.5,0.22,0.63,0.71,21,24,0.533
Thunderbirds,6/5/2021,BOS 29 - 21 PIT,23,7,0.91,0.5,0.6,0.55,0.14,0.27,0.86,29,21,0.42
Union,6/5/2021,IND 12 - 20 CHI,11,9,0.96,0.5,0.71,0.53,0.45,0.71,0.9,12,20,0.625
Glory,6/11/2021,ATL 21 - 19 BOS,19,9,0.94,0.6,0.59,0.45,0.29,0.67,0.8,21,19,0.475
Hustle,6/11/2021,ATL 21 - 19 BOS,16,11,0.92,0.86,0.67,0.58,0.32,0.47,0.58,21,19,0.525
AlleyCats,6/12/2021,DET 16 - 28 IND,13,17,0.95,0.73,0.78,0.74,0.47,0.58,0.83,16,28,0.636
Breeze,6/12/2021,DC 25 - 24 RAL,11,7,0.96,0.79,0.73,0.7,0.23,0.6,0.87,25,24,0.51
Cannons,6/12/2021,PIT 15 - 18 TB,28,16,0.9,0.5,0.65,0.41,0.35,0.35,0.71,15,18,0.545
Cascades,6/12/2021,SEA 19 - 20 SJ,28,16,0.89,0.59,0.41,0.31,0.48,0.5,0.69,19,20,0.487
Flyers,6/12/2021,DC 25 - 24 RAL,12,6,0.95,0.4,0.73,0.66,0.19,0.71,0.95,25,24,0.49
Legion,6/12/2021,DAL 23 - 24 AUS,18,10,0.92,0.75,0.65,0.57,0.25,0.55,0.75,23,24,0.489
Mechanix,6/12/2021,DET 16 - 28 IND,25,5,0.91,0.53,0.47,0.36,0.11,0.5,0.69,16,28,0.364
Sol,6/12/2021,DAL 23 - 24 AUS,15,10,0.94,0.73,0.6,0.5,0.35,0.69,0.76,23,24,0.511
