Team Name,Team Abb,Season,Completion%,Huck%,Hold%,OLC%,Break%,DLC%,RZC%,Turnovers,Blocks,Points/Total
Aviators,LA,2022,0.931,0.587,0.651,0.501,0.229,0.421,0.76,20.5,8.4,0.487
Breeze,DC,2022,0.95,0.6,0.742,0.619,0.311,0.571,0.848,14.5,10.6,0.551
Empire,NY,2022,0.948,0.624,0.77,0.635,0.313,0.551,0.828,14.1,10.6,0.567
Mechanix,DET,2022,0.908,0.593,0.512,0.41,0.131,0.302,0.705,25.4,7.2,0.388
Nitro,POR,2022,0.911,0.547,0.588,0.469,0.156,0.345,0.726,23.7,9.1,0.428
Shred,SLC,2022,0.937,0.674,0.734,0.605,0.326,0.515,0.81,17.5,11.6,0.55
Summit,COL,2022,0.942,0.652,0.739,0.609,0.332,0.555,0.793,15.4,10.8,0.558
Thunderbirds,PIT,2022,0.924,0.575,0.628,0.498,0.218,0.433,0.763,20.6,9.5,0.472
Royal,MTL,2022,0.911,0.593,0.606,0.461,0.215,0.454,0.745,21.2,9.2,0.457
Rush,TOR,2022,0.919,0.703,0.643,0.517,0.187,0.396,0.737,20.4,9.4,0.464
Glory,BOS,2022,0.915,0.548,0.674,0.537,0.241,0.449,0.77,18.8,9.8,0.498
Growlers,SD,2022,0.925,0.672,0.696,0.548,0.244,0.461,0.797,19.2,10.5,0.507
Hustle,ATL,2022,0.939,0.731,0.725,0.599,0.3,0.499,0.782,14.7,11,0.545
Legion,DAL,2022,0.897,0.559,0.597,0.469,0.217,0.396,0.743,22.3,9.1,0.459
Union,CHI,2022,0.937,0.602,0.73,0.603,0.308,0.521,0.844,15.7,9.7,0.548
Wind Chill,MIN,2022,0.934,0.599,0.717,0.553,0.318,0.533,0.791,17.7,11.2,0.549
AlleyCats,IND,2022,0.948,0.671,0.662,0.559,0.259,0.573,0.781,16,8.7,0.499
Havoc,HTX,2022,0.9,0.497,0.533,0.39,0.241,0.357,0.721,27.7,10.2,0.439
Radicals,MAD,2022,0.929,0.55,0.645,0.519,0.287,0.533,0.769,18,9.4,0.505
Cascades,SEA,2022,0.915,0.537,0.613,0.463,0.215,0.417,0.754,22.8,10.4,0.463
Phoenix,PHI,2022,0.929,0.599,0.652,0.504,0.243,0.444,0.785,19.6,9.4,0.489
Sol,ATX,2022,0.93,0.591,0.655,0.519,0.322,0.504,0.789,20,11.5,0.535
Spiders,OAK,2022,0.926,0.618,0.657,0.518,0.243,0.476,0.784,20.8,9.6,0.498
Flyers,CAR,2022,0.942,0.621,0.776,0.631,0.266,0.523,0.829,14.7,9.1,0.528
Cannons,TB,2022,0.895,0.584,0.533,0.403,0.16,0.339,0.706,25.4,8.4,0.408
Outlaws,OTT,2022,0.916,0.669,0.675,0.527,0.181,0.406,0.785,20.6,9.9,0.469
Flyers,RAL,2018,0.944,0.621,0.776,0.631,0.266,0.523,0.829,14.737,9.105,0.528
Spiders,SJ,2018,0.918,0.612,0.657,0.515,0.252,0.475,0.783,21.091,9.758,0.492
Sol,AUS,2018,0.928,0.602,0.657,0.521,0.324,0.509,0.788,19.892,11.324,0.533
